OrderDate,Region,Platform,Genre,GameTitle,UnitsSold,Price,Revenue,Cost,Profit
01/01/2024,Europe,PC,Simulation,Turbo Racer,784,62.6,49078.4,32.11,23904.16
01/01/2024,Europe,PC,Action,StarBattle V,837,75.83,63469.71,44.28,26407.35
01/01/2024,Asia,Xbox,Puzzle,StarBattle V,862,45.57,39281.34,17.73,23998.08
01/01/2024,North America,PC,Puzzle,Fishing Frenzy,787,65.15,51273.05,40.79,19171.32
01/01/2024,North America,Xbox,Action,Galaxy Wars,210,31.75,6667.5,20.06,2454.9
01/01/2024,South America,Xbox,Action,GoalMaster 24,265,54.31,14392.15,42.6,3103.15
01/01/2024,Asia,PC,Sports,Mech Arena,263,79.87,21005.81,30.61,12955.38
01/01/2024,Europe,Switch,Sports,Galaxy Wars,523,67.81,35464.63,33.1,18153.33
01/01/2024,Europe,Switch,Racing,Fishing Frenzy,702,51.5,36153,16.32,24696.36
01/01/2024,South America,PC,RPG,Mech Arena,836,46.71,39049.56,19.33,22889.68
01/01/2024,Europe,PC,Adventure,City Architect,740,77.9,57646,16.13,45709.8
01/01/2024,Europe,PC,Action,Galaxy Wars,421,49.46,20822.66,15.69,14217.17
01/01/2024,Europe,PS5,Simulation,GoalMaster 24,478,55.75,26648.5,30.97,11844.84
01/01/2024,North America,PS5,Adventure,Mech Arena,889,55.6,49428.4,30.44,22367.24
02/01/2024,Europe,PC,Adventure,Mech Arena,65,46.04,2992.6,40.54,357.5
02/01/2024,Asia,Xbox,Shooter,Fishing Frenzy,375,78.76,29535,33.11,17118.75
02/01/2024,South America,Switch,Shooter,Brain Blox,142,31.71,4502.82,16.9,2103.02
02/01/2024,North America,Xbox,Action,Brain Blox,961,69.69,66972.09,32.86,35393.63
02/01/2024,Europe,PC,Puzzle,Football Hero,587,36.16,21225.92,26,5963.92
02/01/2024,North America,Xbox,Simulation,FarmLife Sim,919,44.09,40518.71,36.76,6736.27
03/01/2024,South America,PC,Shooter,Fishing Frenzy,932,47.99,44726.68,25.7,20774.28
03/01/2024,North America,PC,Puzzle,Lost Odyssey,756,78.21,59126.76,25.92,39531.24
03/01/2024,South America,PS5,Racing,GoalMaster 24,324,35.89,11628.36,40.63,-1535.76
03/01/2024,Europe,PC,Sports,StarBattle V,240,46.76,11222.4,41.85,1178.4
03/01/2024,North America,PS5,Sports,Brain Blox,572,73.98,42316.56,27.32,26689.52
03/01/2024,Europe,Switch,Sports,FarmLife Sim,897,54.71,49074.87,27.29,24595.74
03/01/2024,Asia,Switch,Action,StarBattle V,50,63.8,3190,30.55,1662.5
04/01/2024,North America,Switch,RPG,Final Combat,839,33.41,28030.99,43.98,-8868.23
04/01/2024,Europe,PS5,Action,Final Combat,968,67.37,65214.16,22.25,43676.16
04/01/2024,Europe,Switch,Racing,Fishing Frenzy,201,51.12,10275.12,40.49,2136.63
04/01/2024,Asia,Switch,Adventure,Shadow Strike,557,51.03,28423.71,18.4,18174.91
04/01/2024,South America,Switch,Simulation,Lost Odyssey,56,40.57,2271.92,28.65,667.52
04/01/2024,South America,Xbox,RPG,Lost Odyssey,500,47.39,23695,22.88,12255
04/01/2024,North America,Switch,Puzzle,FarmLife Sim,963,79.52,76577.76,29.72,47957.4
04/01/2024,South America,Switch,Racing,Brain Blox,701,67.02,46981.02,24.04,30128.98
05/01/2024,North America,PC,Simulation,Football Hero,359,62.4,22401.6,31.29,11168.49
05/01/2024,North America,Switch,RPG,StarBattle V,660,42.17,27832.2,40.6,1036.2
05/01/2024,Europe,PS5,Shooter,FarmLife Sim,748,69.91,52292.68,31.62,28640.92
05/01/2024,Europe,PC,Puzzle,GoalMaster 24,346,67.82,23465.72,23.48,15341.64
05/01/2024,South America,Switch,Puzzle,Shadow Strike,151,55.96,8449.96,28.26,4182.7
05/01/2024,Asia,PS5,Action,Fishing Frenzy,677,71.26,48243.02,18.49,35725.29
05/01/2024,North America,Xbox,RPG,Mech Arena,428,36.46,15604.88,32.17,1836.12
05/01/2024,South America,Xbox,Simulation,Lost Odyssey,781,34.06,26600.86,44.53,-8177.07
05/01/2024,Europe,PS5,Action,City Architect,534,52.74,28163.16,33.28,10391.64
05/01/2024,South America,Xbox,Action,Brain Blox,57,36.06,2055.42,40.25,-238.83
05/01/2024,Asia,Xbox,Adventure,City Architect,413,42.93,17730.09,42.95,-8.26
06/01/2024,Europe,Switch,Puzzle,Dragon Realms,118,36.51,4308.18,41.85,-630.12
