order_id,customer_id,order_date,category,product,quantity,price,payment_method
O0001,C386,2024-09-06,Beauty,Makeup Kit,1,129.15,PayPal
O0002,C012,2023-12-08,Electronics,Laptop,1,102.53,Gift Card
O0003,C018,2024-07-29,Home,Vacuum Cleaner,2,83.43,Credit Card
O0004,C243,2023-09-26,Fashion,T-Shirt,1,113.24,PayPal
O0005,C348,2024-07-11,Fashion,Jacket,2,87.1,Credit Card
O0006,C409,2023-09-22,Home,Chair,3,232.69,Credit Card
O0007,C129,2023-09-28,Sports,Dumbbells,1,215.63,Bank Transfer
O0008,C418,2023-05-03,Beauty,Perfume,3,192.11,Bank Transfer
O0009,C223,2024-08-11,Fashion,Dress,3,184.26,PayPal
O0010,C201,2024-05-27,Home,Coffee Maker,3,249.72,Bank Transfer
O0011,C199,2023-08-16,Sports,Tennis Racket,2,130.38,Credit Card
O0012,C174,2024-07-14,Home,Coffee Maker,1,283.18,Bank Transfer
O0013,C347,2023-10-29,Sports,Bicycle Helmet,2,256.28,Bank Transfer
O0014,C323,2023-11-12,Fashion,T-Shirt,1,221.07,PayPal
O0015,C252,2024-08-13,Sports,Tennis Racket,1,74.07,Credit Card
O0016,C341,2023-09-01,Beauty,Shampoo,3,245.86,Bank Transfer
O0017,C283,2024-07-24,Beauty,Makeup Kit,3,195.94,Credit Card
O0018,C205,2023-04-10,Fashion,Sneakers,3,58.18,Credit Card
O0019,C135,2024-02-09,Fashion,Sneakers,2,81.03,Bank Transfer
O0020,C190,2024-03-13,Home,Vacuum Cleaner,2,86.0,PayPal
O0021,C131,2023-11-22,Sports,Tennis Racket,3,65.02,Bank Transfer
O0022,C431,2023-08-15,Beauty,Hair Dryer,1,281.93,Credit Card
O0023,C463,2023-07-15,Fashion,Dress,2,185.52,PayPal
O0024,C241,2023-11-17,Home,Lamp,2,182.04,Credit Card
O0025,C066,2024-07-02,Home,Cookware,1,135.5,Bank Transfer
O0026,C231,2023-12-01,Home,Cookware,3,272.31,Credit Card
O0027,C028,2023-07-29,Sports,Dumbbells,2,108.61,PayPal
O0028,C012,2023-01-10,Fashion,Jacket,3,122.57,Credit Card
O0029,C126,2023-06-19,Fashion,T-Shirt,1,36.28,Bank Transfer
O0030,C414,2024-08-18,Fashion,Dress,2,150.51,Gift Card
O0031,C155,2024-02-03,Sports,Yoga Mat,1,196.89,Bank Transfer
O0032,C495,2023-05-12,Electronics,Laptop,3,289.37,Bank Transfer
O0033,C385,2023-10-25,Home,Coffee Maker,3,220.33,Bank Transfer
O0034,C070,2024-01-25,Sports,Dumbbells,1,61.89,Bank Transfer
O0035,C015,2023-07-03,Fashion,Dress,2,285.99,Bank Transfer
O0036,C195,2024-02-04,Beauty,Skincare Set,2,209.62,Credit Card
O0037,C291,2024-07-03,Electronics,Monitor,2,46.75,Gift Card
O0038,C394,2023-05-14,Electronics,Headphones,1,171.36,Bank Transfer
O0039,C206,2024-01-24,Beauty,Skincare Set,3,54.63,PayPal
O0040,C360,2023-11-29,Fashion,Jacket,3,128.36,Credit Card
O0041,C417,2023-12-03,Home,Coffee Maker,3,81.77,Bank Transfer
O0042,C356,2024-02-18,Electronics,Monitor,3,296.22,Gift Card
O0043,C286,2023-11-10,Sports,Running Shoes,1,24.74,PayPal
O0044,C095,2023-03-26,Fashion,Jeans,2,81.01,Bank Transfer
O0045,C252,2023-05-08,Beauty,Makeup Kit,3,218.71,Gift Card
O0046,C350,2023-10-09,Sports,Tennis Racket,2,83.83,Bank Transfer
O0047,C261,2024-06-29,Home,Vacuum Cleaner,3,113.28,Credit Card
O0048,C436,2023-03-26,Electronics,Headphones,3,133.01,Credit Card
O0049,C274,2024-05-24,Electronics,Keyboard,2,192.8,Credit Card
O0050,C371,2024-07-10,Home,Coffee Maker,3,35.44,Credit Card
O0051,C152,2024-05-26,Home,Coffee Maker,1,244.71,Credit Card
O0052,C491,2024-02-04,Fashion,Jacket,1,208.68,Credit Card
O0053,C080,2023-09-06,Sports,Tennis Racket,3,173.54,Bank Transfer
O0054,C376,2023-10-31,Fashion,Dress,3,15.83,Gift Card
O0055,C170,2024-06-02,Electronics,Keyboard,3,98.08,Credit Card
O0056,C373,2023-09-04,Fashion,Dress,2,292.8,Gift Card
